Year,C,Yd
1929,625.7,672.3
1930,592.3,629.3
1931,574.3,607.8
1932,523.0,526.5
1933,511.0,510.7
1934,546.9,560.3
1935,580.6,614.7
1936,639.6,692.2
1937,663.5,716.6
1938,652.6,675.9
1939,689.0,732.3
1940,724.9,781.1
1941,776.7,899.0
1942,758.3,1012.4
1943,779.1,1057.9
1944,801.7,1096.1
1945,851.8,1081.5
1946,956.9,1074.4
1947,976.4,1035.2
1948,998.1,1090.0
1949,1025.3,1095.6
1950,1090.9,1192.7
1951,1107.1,1227.0
1952,1142.4,1266.8
1953,1197.2,1327.5
1954,1221.9,1344.0
1955,1310.4,1433.8
1956,1348.8,1502.3
1957,1381.8,1539.5
1958,1393.0,1553.7
1959,1470.7,1623.8
1960,1510.8,1664.8
1961,1541.2,1720.0
1962,1617.3,1803.5
1963,1684.0,1871.5
1964,1784.8,2006.9
1965,1897.6,2131.0
1966,2006.1,2244.6
1967,2066.2,2340.5
1968,2184.2,2448.2
1969,2264.8,2524.3
1970,2317.5,2630.0
1971,2405.2,2745.3
1972,2550.5,2874.3
1973,2675.9,3072.3
1974,2653.7,3051.9
1975,2710.9,3108.5
1976,2868.9,3243.5
1977,2992.1,3360.7
1978,3124.7,3527.5
1979,3203.2,3628.6
1980,3193.0,3658.0
1981,3236.0,3741.1
1982,3275.5,3791.7
1983,3454.3,3906.9
1984,3640.6,4207.6
1985,3820.9,4347.8
1986,3981.2,4486.6
1987,4113.4,4582.5
1988,4279.5,4784.1
1989,4393.7,4906.5
1990,4474.5,5014.2
1991,4466.6,5033.0
1992,4594.5,5189.3
1993,4748.9,5261.3
1994,4928.1,5397.2
1995,5075.6,5539.1
1996,5237.5,5677.7
1997,5423.9,5854.5
1998,5683.7,6168.6
1999,5964.5,6328.4
2000,6223.9,6630.3
2001,6377.2,6748.0
2002,6576.0,7032.2
