crime,pov,metro,popdens
4879,17.4,67.4,82.5
5568,9.1,41.8,1.1
7432,15.4,84.7,34.6
4811,20.0,44.7,46.6
6457,18.2,96.7,200.1
5527,9.9,81.8,34.4
4560,8.5,95.7,676.4
4872,10.2,82.7,358.2
11761,26.4,100.0,9482.8
8351,17.8,93.0,253.3
6193,13.5,67.7,119.4
6277,8.0,74.7,182.4
3845,13.1,30.0,13.3
5618,13.6,84.0,210.4
4465,12.2,71.6,159.3
3846,10.3,43.8,50.4
4975,13.1,54.6,30.9
3260,20.4,48.5,95.4
6847,26.4,75.0,98.6
3154,15.4,35.7,40.2
6107,9.7,92.8,507.9
4894,10.7,96.2,767.1
5453,15.4,82.7,166.8
4386,11.6,69.3,56.7
4418,24.7,34.6,56.3
5095,16.1,68.3,76.0
4790,14.9,24.0,5.8
4117,10.3,50.6,20.9
6180,9.8,84.8,12.6
2905,9.9,59.4,125.5
4801,10.9,100.0,1062.0
6266,17.4,56.0,13.3
5551,16.4,91.7,385.3
5652,14.4,66.3,142.6
2820,11.2,41.6,9.2
4485,13.0,81.3,270.8
5294,19.9,60.1,47.1
5766,11.8,70.0,31.6
3271,13.2,84.8,268.8
4499,11.2,93.6,956.9
5903,18.7,69.8,121.0
2958,14.2,32.6,9.4
5240,19.6,67.7,123.7
6439,17.4,83.9,68.8
5237,10.7,77.5,22.6
3972,10.0,27.0,62.2
4116,9.7,77.5,163.9
5952,12.1,83.0,78.9
2533,22.2,41.8,75.6
4054,12.6,68.1,92.8
4163,13.3,29.7,4.8
