,GDPgrowth,initGDP,MSE,FSE,FHE,MHE,life_exp,eduGDP,invGDP,govGDP,pol
Algeria75,0.04150304,7.330405212,0.132,0.067,0.005,0.022,3.879499814,0.03815,0.18982,0.06014,0.08325
Cameroon75,0.024243501,6.591673732,0.439,0.089,0.004,0.013,3.788724789,0.02675,0.06633,0.1255,0
Central_African_Rep.75,0.007134808,6.432940093,0.176,0.017,0.005,0.015,3.683866912,0.0386,0.10182,0.27716,0.1
Congo75,0.046416704,6.938284484,0.748,0.324,0.052,0.14,3.875359021,0.0489,0.13103,0.24286,0.3385
Ghana75,0.001259318,6.766191715,0.551,0.135,0.008,0.034,3.832979798,0.04095,0.08459,0.08226,0.15
Kenya75,0.031417369,6.390240667,0.136,0.061,0.008,0.011,3.824284091,0.04285,0.20465,0.13513,0.0075
Liberia75,0.017145643,6.687108608,0.278,0.087,0.019,0.055,3.742420221,0.01815,0.11925,0.15651,0
Malawi75,0.022364468,5.988961417,0.024,0.003,0,0,3.64805746,0.02285,0.12759,0.1407,0
Niger75,-0.000662254,6.406879986,0.092,0.041,0,0.012,3.583518938,0.0089,0.07842,0.15305,0
Rwanda75,0.059009195,5.82008293,0.145,0.072,0.005,0.024,3.867025639,0.0281,0.03112,0.12826,0.05
Senegal75,-0.001282069,7.002155954,0.132,0.114,0.019,0.024,3.693866996,0.0268,0.06551,0.15416,0.0743
Tanzania75,0.033184081,5.916202063,0.344,0.114,0.054,0.155,3.728100167,0.02975,0.17079,0.19249,0.00345
Togo75,0.021169617,6.198478716,0.065,0.013,0,0.007,3.703768067,0.0245,0.17156,0.13814,0.127
Tunisia75,0.04994026,7.102499356,0.274,0.067,0.008,0.045,3.908014984,0.04645,0.19216,0.10473,0
Uganda75,-0.004619436,6.59441346,0.153,0.023,0,0.003,3.784189634,0.0265,0.12416,0.15505,0.17385
Zambia75,0.011972687,6.989335266,0.376,0.119,0.013,0.042,3.756538103,0.0339,0.36883,0.25134,0
Zimbabwe75,0.032045497,6.859614904,0.145,0.017,0.008,0.045,3.832979798,0.03365,0.22758,0.0246,0
Canada75,0.034555049,9.075779879,2.478,2.667,0.375,0.473,4.268297869,0.06115,0.25421,0.03498,0.0047
Costa_Rica75,0.029324785,7.772331575,0.453,0.424,0.095,0.114,4.143134726,0.0502,0.16881,0.12395,0
Dominican_Rep.75,0.047348974,7.104144093,0.287,0.195,0.024,0.054,3.981549068,0.0259,0.14669,0.07305,0.16125
El_Salvador75,0.015364035,7.426549072,0.287,0.229,0.012,0.033,3.958906591,0.0264,0.09045,0.11034,0.05
Guatemala75,0.023015636,7.474204806,0.174,0.146,0.01,0.037,3.850147602,0.01675,0.10492,0.04801,0.23575
Honduras75,0.012716894,6.988413182,0.221,0.164,0.009,0.04,3.871201011,0.02775,0.15012,0.0919,0.05
Jamaica75,0.031905446,7.658227526,0.338,0.389,0.017,0.037,4.15575319,0.03595,0.31232,0.03512,0
Mexico75,0.033548178,8.107418812,0.484,0.207,0.022,0.097,4.06731589,0.01985,0.18248,0.03669,0.0008575
Nicaragua75,0.012708345,7.640603826,0.219,0.152,0.003,0.038,3.883623531,0.02105,0.13926,0.02892,0
Panama75,0.037270993,7.562161631,0.892,0.906,0.1,0.116,4.123903364,0.04465,0.27608,0.15727,0.21725
United_States75,0.015493102,9.352620879,3.154,3.253,0.517,0.723,4.248495242,0.05155,0.25086,0.00505,0.001499
Argentina75,0.0187113,8.219595454,0.785,0.62,0.074,0.166,4.180522258,0.0221,0.1505,0.05959,0.357475
Bolivia75,0.030984837,7.17395832,1.683,0.969,0.101,0.149,3.770459441,0.0317,0.24094,0.1163,0.697275
Brazil75,0.0636727,7.513163545,0.674,0.515,0.027,0.095,4.021773869,0.0171,0.22168,0.06464,0.00107
Chile75,-0.011923892,8.091015042,1.126,1.138,0.06,0.127,4.063885355,0.037,0.15381,0.12693,0.1755
Colombia75,0.031400303,7.484930283,0.695,0.45,0.014,0.069,3.996364154,0.01495,0.17409,0.06211,0
Ecuador75,0.052310513,7.348587531,0.512,0.369,0.026,0.099,4.000033883,0.02945,0.24363,0.08855,0.2
Paraguay75,0.026271706,7.176254532,0.548,0.299,0.029,0.085,4.165113633,0.0172,0.10497,0.09864,0
Peru75,0.021008023,7.784889296,0.699,0.427,0.066,0.155,3.895893623,0.0353,0.2007,0.06286,0.05
Uruguay75,0.014298739,8.167919363,0.765,0.68,0.051,0.057,4.210645018,0.03025,0.14756,0.06218,0.0891
Venezuela75,-9.55E-05,8.899867211,0.462,0.281,0.031,0.106,4.110873864,0.0347,0.17235,0.02962,0.05
