wage,educ,exper,tenure,married,black,south,urban
769,12,11,2,1,0,0,1
808,18,11,16,1,0,0,1
825,14,11,9,1,0,0,1
650,12,13,7,1,0,0,1
562,11,14,5,1,0,0,1
1400,16,14,2,1,1,0,1
600,10,13,0,0,0,0,1
1081,18,8,14,1,0,0,1
1154,15,13,1,1,0,0,0
1000,12,16,16,1,0,0,1
930,18,8,13,1,0,0,0
921,14,9,11,1,0,0,0
900,15,4,3,0,0,0,0
1318,16,7,2,1,0,0,1
1792,16,9,9,1,0,0,1
958,10,17,2,1,0,0,1
1360,15,6,9,1,0,0,1
850,11,19,10,1,0,0,1
830,14,4,7,1,0,0,1
471,12,13,7,1,0,0,1
1275,14,9,1,1,0,0,1
1615,16,10,4,1,0,0,1
873,12,14,3,1,0,0,1
2137,16,17,8,1,0,0,1
1053,16,12,7,1,0,0,1
1602,16,8,9,1,0,0,1
1188,13,16,5,1,0,0,1
800,18,11,1,1,0,1,1
1417,17,9,4,1,0,0,1
635,18,8,13,0,0,0,1
1000,12,17,2,1,0,0,1
1424,14,15,4,1,0,0,1
2668,13,12,2,1,0,1,1
666,18,8,12,1,0,0,0
1779,17,8,9,1,0,0,1
782,13,9,10,1,0,0,1
1572,14,7,5,1,1,0,1
1274,13,11,12,1,0,0,1
714,16,9,2,1,0,0,1
1081,18,11,7,1,0,0,0
692,12,21,11,1,0,0,1
1318,17,10,9,1,0,0,1
1239,12,16,4,1,0,0,1
1027,13,12,15,1,0,0,1
1748,18,12,12,1,0,0,1
981,14,9,15,0,0,0,1
770,17,7,11,1,0,0,1
1154,16,11,5,1,0,0,1
1155,12,16,5,1,0,0,1
808,13,14,12,1,0,0,1
1100,12,22,14,1,0,0,1
1154,18,10,10,1,0,1,1
1749,12,13,9,0,0,0,1
1000,16,11,8,1,0,0,1
462,12,11,1,1,0,0,1
769,18,8,12,0,0,0,1
875,16,9,3,0,0,0,0
1375,12,12,7,1,0,0,1
1452,17,1,7,1,0,0,1
800,12,17,12,1,0,0,1
1748,17,10,7,1,0,0,1
1151,12,12,12,1,0,0,1
840,12,18,13,1,0,0,1
978,12,17,2,1,0,0,1
963,12,15,15,0,0,0,0
619,12,10,10,0,0,0,1
442,12,12,0,1,0,0,1
600,15,12,1,1,0,0,0
1366,12,15,15,1,0,0,1
1643,18,8,2,1,0,0,1
1455,16,8,13,1,0,0,1
2310,18,12,7,1,0,0,1
1682,16,10,11,1,0,0,1
1235,12,10,2,1,0,0,1
855,16,11,4,1,0,0,1
1072,16,6,8,1,0,0,1
1040,15,8,15,1,0,0,1
1000,12,17,15,1,0,0,1
675,15,8,2,1,0,0,0
1100,12,14,1,1,0,0,1
996,12,5,14,1,0,0,1
732,10,17,5,1,0,0,1
1200,11,15,3,1,0,0,1
1694,15,9,8,0,0,0,1
686,10,15,3,1,0,1,1
754,13,9,5,1,0,0,1
857,10,14,15,1,0,0,1
832,13,4,2,1,0,0,1
579,13,8,1,1,0,0,0
672,12,13,3,1,0,0,1
2500,15,12,9,1,0,0,1
1076,12,5,8,0,0,0,1
750,12,16,3,1,1,0,1
1186,17,8,9,1,0,0,1
833,16,9,7,1,0,0,1
650,12,14,11,1,1,0,1
1250,12,5,16,1,0,0,0
1122,15,12,9,1,0,0,1
865,16,1,11,1,0,0,1
808,16,10,7,1,0,0,1
1299,18,6,12,0,0,0,1
903,12,6,12,1,0,0,1
900,12,17,15,1,0,0,1
625,12,18,0,1,0,0,1
1586,14,16,1,1,0,1,1
962,10,15,16,1,0,0,1
1539,17,7,8,1,0,0,1
1110,12,11,6,1,0,0,0
1282,16,6,6,0,0,1,1
770,12,13,2,1,0,0,1
1000,12,16,0,1,0,0,1
895,9,17,16,1,1,0,0
1205,10,13,0,1,1,0,1
750,12,11,10,1,0,0,0
654,13,5,16,1,0,0,1
601,12,15,3,1,0,0,1
600,13,10,11,1,0,0,1
433,12,11,10,0,0,0,1
1188,12,11,7,1,0,0,1
635,12,15,15,1,0,0,0
1225,13,9,14,1,0,0,1
1151,12,19,19,1,0,0,1
865,12,15,11,0,0,0,1
1031,14,9,5,1,0,0,1
1049,12,9,11,1,0,0,1
1000,12,12,1,1,0,0,1
1105,13,10,11,1,0,0,1
1924,18,11,7,1,0,0,1
1346,16,9,16,1,0,0,1
809,12,11,10,1,0,0,1
1495,18,10,3,1,0,0,1
1346,16,10,1,0,0,0,0
1200,12,10,4,1,0,0,1
500,12,6,0,1,0,1,1
1325,12,12,5,1,0,0,1
900,12,16,5,1,1,0,1
800,12,15,3,1,0,0,1
800,12,16,7,1,0,0,1
1034,12,15,16,1,0,0,1
980,12,4,12,1,0,0,1
884,10,19,12,1,0,0,1
480,10,11,5,0,0,0,1
923,18,7,14,1,0,0,1
513,17,8,5,0,0,0,1
1105,11,17,16,0,0,0,1
1193,12,19,10,1,0,1,1
2771,18,6,7,1,0,0,1
779,12,9,6,1,0,0,1
950,11,13,6,1,0,0,1
1394,16,11,8,1,0,0,0
1495,17,13,9,1,0,0,1
650,12,4,3,1,0,0,1
670,13,9,5,1,0,0,1
1126,16,5,8,1,0,0,1
450,12,11,1,0,1,0,1
1028,12,19,12,1,1,1,1
2404,15,8,0,1,0,0,1
1899,18,9,14,0,0,0,1
757,16,10,9,1,0,0,1
1250,14,9,1,1,0,0,1
1162,16,8,11,1,0,0,1
1025,15,9,13,1,1,0,1
1100,16,11,12,1,0,0,0
714,16,7,5,1,0,0,1
1318,16,16,17,1,0,0,0
1411,18,14,3,1,0,0,1
2162,17,4,4,1,0,0,1
1273,14,11,16,1,0,0,0
1140,12,16,15,1,0,0,1
578,13,7,4,0,0,0,1
942,12,7,10,1,0,0,1
1058,12,17,8,1,0,0,0
750,14,9,9,1,0,0,1
1000,12,11,6,1,0,0,1
951,12,9,7,1,0,0,1
635,12,13,2,1,0,0,1
1250,12,13,1,1,0,0,1
675,12,6,15,1,0,0,1
400,12,11,6,1,0,0,1
577,12,9,8,1,0,0,1
590,13,10,7,1,0,0,0
923,16,10,10,1,0,0,0
1250,12,6,2,0,0,0,1
1100,14,11,8,1,0,0,1
1130,12,18,2,1,0,0,1
652,12,14,4,0,0,0,1
618,12,6,2,1,0,0,1
962,16,7,14,1,0,0,1
529,13,14,11,1,0,0,0
817,12,16,14,1,0,0,0
962,16,8,9,1,0,0,0
840,12,19,15,1,0,0,0
866,16,7,4,1,0,0,0
2404,14,1,1,1,0,0,1
1126,12,16,2,1,0,0,1
1160,12,8,8,1,0,0,0
723,12,15,5,1,0,0,1
1778,16,14,13,1,0,0,1
1903,18,13,5,1,0,0,0
1010,18,7,14,1,0,0,1
971,17,5,11,1,0,0,1
525,12,9,2,1,0,0,1
525,12,12,13,1,0,0,0
670,12,10,3,1,0,0,0
500,12,19,4,1,0,0,0
1058,14,14,15,1,0,0,0
550,12,18,15,1,0,0,1
500,12,14,1,1,0,0,1
727,15,10,5,0,0,0,1
865,12,6,8,1,0,0,0
1081,13,8,2,1,0,1,1
1304,17,9,9,1,0,0,0
575,13,6,1,1,0,0,0
623,16,7,1,1,0,0,0
515,13,8,10,1,0,0,0
1273,18,14,4,1,0,0,1
990,13,13,9,1,0,0,0
600,12,16,6,1,0,0,0
1160,12,17,2,1,0,0,0
500,12,11,9,1,0,0,0
795,12,17,18,1,0,0,0
500,11,20,3,1,0,0,0
740,10,23,13,1,0,0,0
1250,16,10,7,1,0,0,1
1014,16,13,9,0,0,0,1
1250,13,13,3,1,0,0,1
913,14,4,13,1,0,0,1
1346,16,9,8,1,0,0,1
445,10,19,0,1,0,0,0
265,12,18,2,1,0,0,1
1250,14,7,1,1,0,0,1
1607,13,7,9,1,0,0,1
1452,16,12,15,1,1,0,1
1391,12,14,8,1,1,1,1
821,16,8,2,1,0,0,1
794,16,9,7,1,0,0,1
500,13,10,1,1,0,0,0
520,18,6,3,1,0,0,0
1730,18,12,12,1,0,0,1
1924,18,9,10,1,0,0,1
1155,18,10,2,1,0,0,1
2162,15,9,4,1,0,0,1
923,14,8,7,1,0,0,1
1115,16,12,13,1,0,0,1
449,12,7,2,0,0,0,1
1500,12,10,11,1,0,0,1
826,14,20,3,1,0,0,1
937,12,16,8,1,0,0,1
978,12,19,15,1,0,0,1
1031,14,14,12,0,0,0,1
1272,12,10,1,1,0,0,1
1136,14,16,12,1,0,1,1
800,12,19,12,1,0,0,1
1339,12,8,9,1,0,0,1
1063,12,14,12,1,1,0,1
935,12,10,6,1,0,0,1
808,12,18,13,1,1,0,1
375,10,12,2,1,0,1,0
537,12,14,8,0,1,0,1
1082,12,11,4,1,1,0,1
930,14,10,1,0,0,0,1
1155,17,13,4,1,0,0,0
548,11,7,0,1,1,0,1
622,16,12,1,1,0,0,1
841,16,10,1,1,0,0,1
769,18,7,15,0,0,0,1
587,17,8,5,1,0,0,0
1924,16,17,18,1,0,0,1
1058,12,7,3,1,0,0,1
417,12,7,1,0,0,0,1
1202,16,6,6,1,0,0,1
1154,14,18,2,1,0,0,1
1070,13,4,9,1,0,0,1
1202,14,10,11,1,0,0,1
711,18,13,3,1,0,0,1
1202,14,6,5,1,1,0,1
850,12,7,3,1,0,0,1
1000,16,13,11,1,0,0,1
490,18,7,8,0,0,0,1
1000,14,15,4,1,0,0,1
865,16,11,4,1,0,1,1
1375,13,3,3,1,0,0,1
1586,16,16,12,1,0,0,1
1602,15,14,14,1,0,0,1
3078,14,12,13,1,0,1,1
898,16,7,9,0,0,0,1
906,14,16,2,1,0,0,1
952,13,10,10,1,1,0,1
571,13,10,1,0,1,0,1
445,12,15,13,0,0,0,1
289,12,9,0,1,0,0,1
1444,16,12,15,1,0,0,1
962,12,19,21,1,0,0,1
1075,12,17,10,1,0,0,1
909,11,17,5,1,0,0,1
1250,12,14,19,1,0,0,1
620,11,10,5,1,1,0,1
1016,10,14,15,1,1,0,1
800,10,21,14,1,1,0,1
1050,16,7,18,0,0,0,1
1079,12,18,9,1,0,0,1
654,17,12,13,1,0,0,1
781,12,8,10,1,0,0,1
1038,15,8,2,1,0,1,0
1924,16,16,14,1,0,0,1
1202,15,15,17,1,0,0,1
666,15,8,2,1,0,0,1
905,14,11,14,1,0,0,1
890,12,6,8,1,0,0,1
817,16,10,7,1,0,1,0
812,12,10,2,0,0,0,1
577,14,6,2,1,0,1,1
756,14,9,2,1,0,0,1
1011,12,20,7,1,0,1,1
1155,12,14,1,1,0,0,1
1025,12,12,7,1,0,0,1
1350,12,17,12,1,0,0,0
1001,12,20,22,1,0,0,1
796,13,16,15,1,1,0,1
1230,13,11,12,1,0,0,1
754,12,13,1,1,0,0,1
714,12,17,1,1,0,0,0
1000,15,8,3,1,0,0,1
2067,16,12,13,1,0,1,1
912,16,11,5,1,0,0,1
600,12,8,5,1,0,1,1
951,11,13,1,1,0,0,1
711,16,8,5,1,0,1,1
1151,12,18,9,1,0,0,1
1000,12,9,5,1,0,0,1
841,12,15,10,1,0,0,1
400,12,12,3,1,0,0,1
1175,12,17,14,1,0,0,1
1202,12,18,2,1,0,0,1
1442,12,16,17,1,0,0,1
538,18,5,1,1,0,0,1
781,11,13,10,1,0,0,1
750,10,13,9,1,0,0,1
841,18,13,1,0,1,0,1
700,13,14,1,1,0,0,1
1346,16,9,4,1,0,0,1
800,12,16,12,1,0,0,0
1250,16,9,10,1,0,0,1
1105,16,5,8,1,0,0,1
475,14,12,1,0,0,0,1
762,15,6,4,1,0,0,0
962,12,18,19,1,0,0,1
721,13,9,9,0,0,1,1
800,9,18,13,1,0,0,1
658,16,11,9,1,0,0,1
1270,14,4,16,1,0,0,1
1313,12,11,7,1,0,0,0
824,12,19,15,1,0,0,1
1442,16,6,7,1,0,0,1
1400,17,7,3,1,0,0,1
1038,12,20,5,1,0,0,0
668,12,11,12,1,0,0,0
1100,12,18,10,1,0,0,0
1000,14,9,7,1,0,0,1
523,13,9,2,1,0,0,0
1111,14,13,13,1,0,0,0
962,16,6,4,1,0,0,0
729,18,6,13,1,0,0,1
690,12,9,5,1,0,0,1
1010,11,15,7,1,0,0,0
600,11,7,2,1,0,1,1
596,12,16,17,1,0,0,0
850,12,11,1,1,0,0,1
670,12,9,2,1,0,0,1
793,12,17,18,1,0,0,0
1442,17,14,7,1,0,1,0
670,12,14,8,1,0,1,1
876,16,10,8,1,0,0,1
841,18,13,2,1,0,0,0
975,13,8,0,1,0,0,1
1223,12,7,3,1,0,0,0
910,12,16,5,1,0,1,1
533,15,8,2,1,0,0,1
750,12,15,11,1,0,0,0
1206,12,16,4,1,0,0,1
745,13,17,1,0,0,0,0
900,12,15,1,1,0,1,0
1170,14,9,14,1,0,0,1
540,12,12,3,1,0,0,0
550,16,15,1,1,0,0,0
615,14,9,4,1,0,0,0
909,13,6,2,1,0,0,1
769,12,18,12,1,0,0,0
984,13,17,18,1,0,0,1
833,12,15,12,1,0,0,1
879,12,17,10,0,0,0,1
1027,12,16,7,1,0,0,1
1000,16,10,1,1,0,1,0
465,13,10,1,1,0,0,1
1100,13,21,12,1,1,0,1
641,14,9,0,1,0,0,1
1035,12,21,14,1,0,0,1
1212,14,9,3,0,0,0,1
950,12,11,6,1,0,0,1
938,12,19,20,1,0,0,1
1250,16,8,8,1,0,0,1
586,18,6,10,1,0,0,0
693,12,7,6,1,0,0,0
562,12,18,12,0,0,0,0
375,12,12,5,0,0,0,0
673,12,7,11,1,0,0,0
654,17,1,13,1,0,0,0
692,12,17,7,1,0,0,0
1111,14,10,1,1,0,0,1
1368,16,11,1,1,0,1,1
1282,18,7,13,1,0,0,1
1250,11,19,4,1,0,0,1
1346,15,15,7,1,0,0,1
1424,17,15,12,1,0,0,1
854,16,8,5,0,0,0,1
888,15,9,5,0,0,0,1
1161,12,5,10,1,0,0,1
583,16,9,0,1,0,0,1
1260,12,5,3,1,0,0,1
947,18,8,13,1,0,0,0
1850,11,14,15,1,0,0,1
1575,12,13,2,1,0,0,1
758,16,10,8,0,0,0,1
1442,12,19,15,1,0,0,1
489,13,20,4,1,0,1,1
1126,12,5,0,1,1,0,1
1000,12,12,5,0,1,0,1
500,12,13,11,1,0,0,1
1200,12,13,9,1,0,0,1
565,10,15,3,1,0,0,0
1920,12,13,2,1,0,0,0
684,14,7,7,1,0,0,1
774,12,20,4,1,0,0,0
233,16,7,4,1,0,0,0
975,13,12,10,1,0,0,0
1366,12,13,1,1,0,0,1
2137,16,16,3,1,0,1,1
700,16,10,1,1,0,1,1
1200,12,16,11,1,0,0,1
1161,13,16,18,1,0,0,1
729,11,16,15,1,0,0,1
750,11,17,2,1,0,0,1
1026,12,4,16,1,0,0,1
1111,15,11,3,1,0,0,1
625,12,12,8,1,0,0,1
1200,16,11,5,1,0,0,1
1541,12,8,1,1,0,0,1
1154,16,12,9,1,0,0,1
310,13,10,0,0,0,0,0
610,12,14,4,1,0,0,0
1749,12,16,17,1,0,0,0
1000,16,9,1,0,0,1,1
350,12,14,1,1,0,0,0
765,12,17,18,1,0,0,0
790,12,15,2,1,0,0,0
818,12,16,17,1,0,0,0
477,9,12,1,1,0,0,0
938,14,15,1,1,0,0,0
2099,16,10,4,1,0,0,1
350,12,14,3,1,0,0,1
940,12,13,0,1,1,0,1
1202,15,11,8,1,0,0,1
450,15,9,4,1,0,0,0
1058,16,16,13,1,0,0,0
1000,11,15,15,1,0,0,1
318,12,16,5,1,1,1,1
556,11,13,9,0,1,0,1
958,12,11,9,1,0,0,1
995,9,22,13,1,1,0,1
1600,14,16,5,1,0,0,0
606,18,6,5,0,0,0,0
511,12,13,1,1,0,0,1
1411,16,11,12,1,0,1,1
1346,16,15,11,1,0,0,1
1522,12,15,16,1,0,0,0
1075,14,9,10,1,0,0,0
1200,12,11,11,1,0,0,1
1377,16,15,1,1,0,0,1
874,13,8,2,1,0,0,0
625,13,11,9,1,0,0,1
1250,12,17,2,1,0,0,1
1082,13,20,12,1,0,0,1
693,11,18,3,1,0,0,0
727,12,11,11,1,0,0,0
615,15,16,15,1,0,0,0
913,16,5,7,1,0,0,1
884,17,4,10,1,0,0,0
698,12,10,4,1,0,0,1
800,12,17,18,1,0,0,0
812,16,9,3,0,0,0,0
1000,11,16,14,1,0,0,1
549,12,11,3,0,0,0,0
1300,12,13,15,1,0,0,1
923,16,9,8,1,0,0,1
1539,12,15,15,1,0,0,0
721,12,11,9,1,0,0,0
815,12,15,14,1,0,0,0
600,12,20,2,1,0,0,0
1100,12,18,7,1,0,0,1
1058,12,18,19,1,0,0,1
962,12,15,1,1,0,0,1
433,12,5,9,1,0,0,0
940,11,9,2,1,0,0,0
1417,16,9,10,0,0,0,1
1000,12,11,9,1,0,0,1
500,13,14,5,1,0,0,0
800,14,8,5,1,0,0,1
766,12,17,18,1,0,0,0
750,14,12,10,1,0,0,0
550,12,15,2,1,0,0,0
795,11,16,4,1,0,0,1
723,12,12,10,1,0,0,1
1039,14,12,8,1,0,0,1
200,10,11,15,1,0,1,1
400,10,12,1,1,1,0,1
575,11,17,1,1,0,1,1
850,11,16,5,1,0,1,1
508,12,16,1,1,1,1,1
1162,12,11,4,1,0,1,1
1199,13,13,5,1,1,1,1
1270,16,8,4,1,0,1,1
350,16,5,3,1,0,1,1
963,14,9,9,1,1,1,1
1463,15,14,11,1,0,1,1
802,12,13,12,1,1,1,1
642,12,12,7,1,1,1,1
751,13,9,2,1,0,1,1
488,17,5,3,1,0,1,1
1400,12,15,5,1,0,1,1
940,18,10,7,1,0,1,1
866,13,15,16,1,0,1,1
675,12,20,4,1,1,1,1
375,14,9,3,1,1,1,1
325,14,10,1,1,1,1,1
346,12,16,17,1,0,1,1
1442,17,8,1,1,0,1,1
560,16,13,2,1,0,1,0
550,12,17,11,1,0,1,1
950,16,8,10,1,1,1,1
684,13,16,2,1,0,1,1
1322,16,7,1,1,0,1,1
1634,12,18,3,1,0,1,1
417,12,8,0,0,0,1,1
472,11,9,0,1,0,1,1
666,12,16,1,1,1,1,1
1679,18,10,3,1,0,1,1
1039,16,1,9,0,0,1,1
1250,13,13,11,1,0,1,1
760,12,12,15,1,0,1,1
1154,12,14,12,1,0,1,1
1602,15,14,1,1,0,0,1
1442,13,13,13,1,1,1,1
865,16,5,3,1,0,0,1
705,12,15,12,1,0,1,1
1000,12,16,1,1,0,1,1
852,10,13,9,1,0,1,1
770,12,16,14,1,0,0,1
1000,12,16,9,1,0,0,1
1329,18,10,5,1,0,0,1
1682,16,10,4,1,0,1,1
577,16,4,0,1,1,1,1
685,12,17,7,0,0,1,1
577,16,8,8,0,1,1,1
1040,12,19,9,1,1,1,1
1250,16,10,11,0,0,1,1
600,13,7,7,0,0,1,1
480,12,17,3,0,1,1,1
1000,11,11,0,1,0,1,1
988,12,15,15,1,0,1,1
478,10,19,10,1,0,1,1
440,12,11,2,1,1,1,1
485,12,11,1,1,1,1,1
705,9,19,0,1,1,1,1
1550,12,16,1,1,0,1,0
960,12,11,9,1,1,1,1
1000,12,16,14,1,0,1,1
625,18,4,5,1,0,1,0
1346,16,14,14,1,0,0,1
961,12,13,13,0,1,0,1
479,12,15,1,1,0,1,0
1201,11,17,16,1,0,1,0
1346,16,8,2,1,0,1,1
1122,18,13,8,1,0,1,1
543,14,5,7,1,1,1,1
450,11,12,4,1,1,1,1
507,14,10,4,1,0,1,1
547,11,17,5,1,0,1,1
586,11,18,16,1,0,1,1
462,12,6,4,1,1,1,0
705,12,13,8,1,1,0,1
1566,12,7,1,1,0,0,1
1634,13,18,18,1,0,1,1
1282,16,4,1,1,0,0,1
556,16,6,2,1,1,1,1
1200,15,7,8,1,0,0,1
855,12,6,6,1,0,1,0
1053,12,18,7,1,0,1,0
1000,12,11,4,1,0,1,0
900,12,18,5,0,0,0,1
1602,16,10,10,1,0,1,0
508,17,9,2,1,0,1,1
1500,16,6,6,1,0,1,0
1682,14,15,9,1,0,1,1
750,13,13,1,1,0,1,1
843,14,8,7,1,0,1,0
409,12,17,18,0,0,1,0
1004,12,17,15,1,0,1,0
650,12,13,10,1,0,1,0
808,12,17,9,1,1,1,0
2137,13,8,2,1,0,1,0
761,12,14,21,1,0,1,1
769,16,8,3,0,0,1,1
345,12,7,8,1,1,1,1
495,12,6,10,1,0,1,1
987,16,9,3,1,0,1,1
2500,12,21,1,1,0,1,0
1098,14,6,1,0,0,1,1
1212,12,6,16,1,0,1,0
577,15,8,1,1,1,1,1
390,15,10,3,1,1,1,1
1500,16,9,12,1,0,1,1
583,12,9,1,1,0,1,1
460,11,16,1,1,0,1,1
945,12,12,13,1,0,1,1
1442,16,9,3,1,0,1,1
1333,16,14,8,1,0,1,1
1500,15,8,5,0,0,0,1
1333,16,7,1,1,0,0,1
700,12,16,4,1,1,1,1
973,13,11,5,1,0,1,1
2162,18,10,8,1,0,1,1
797,12,10,7,1,0,1,0
400,12,14,1,1,1,1,1
1015,12,15,11,1,1,0,1
1744,16,8,9,1,0,1,1
630,15,14,2,1,0,1,0
445,12,11,4,1,0,1,0
660,16,12,9,1,0,1,1
779,12,14,7,1,1,1,1
377,12,9,1,0,0,1,1
560,12,16,11,1,1,1,1
1122,17,7,13,1,0,1,1
453,12,9,2,1,0,1,0
1386,10,17,9,1,0,1,1
1539,17,7,9,1,0,1,1
1154,16,11,12,1,0,1,1
962,14,15,2,1,0,1,1
722,16,8,1,0,0,1,1
480,12,9,3,1,0,1,1
808,18,8,9,1,0,1,0
1442,13,14,8,1,0,1,1
1091,13,13,4,1,0,0,1
350,12,16,0,0,1,1,1
500,12,18,11,1,1,1,1
1026,16,9,13,1,0,1,1
577,17,11,7,0,1,1,1
1333,15,5,1,1,0,1,1
915,12,17,9,1,0,0,1
1105,16,9,10,0,0,1,1
910,14,5,5,1,1,1,1
1000,12,17,8,1,0,1,1
1160,12,14,1,1,1,1,1
1001,12,12,3,1,1,1,1
713,12,5,12,1,1,1,1
929,13,12,5,1,0,1,1
400,12,4,9,1,1,1,1
1241,13,9,10,1,0,1,1
1065,12,21,10,1,0,1,1
403,12,5,3,1,0,1,1
940,13,15,12,1,1,1,1
812,10,17,13,1,1,1,1
700,10,13,0,1,1,1,1
575,10,12,6,1,1,1,1
450,10,20,5,1,1,1,1
621,12,14,10,1,0,1,0
441,12,12,11,1,0,1,0
625,16,6,9,1,1,1,0
726,12,16,5,1,0,1,0
500,9,21,13,1,1,1,1
1000,17,8,2,1,0,1,1
393,12,15,16,1,0,1,1
600,12,8,3,0,0,1,0
962,12,21,12,1,0,1,0
962,12,15,4,1,0,1,0
865,11,10,7,1,0,0,1
1154,16,10,3,1,0,1,1
